,occurrences_across_networks,interaction_types,networks_with_the_edge
Merdisoma faecalis-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Anaeromassilibacillus stercoravium-Copromonas faecavium,1,"{'competition', 'co-exclusion'}",{'TG4'}
L-Leucine-Thiamine,1,{'co-occurrence'},{'TG2'}
unclassified_Eubacterium_R-CAG-273 sp944392105,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
L-Phenylalanine-Thiamine,1,{'co-occurrence'},{'TG2'}
L-Serine-Riboflavin,1,{'co-exclusion'},{'TG2'}
Pseudobutyricicoccus lothianensis-Acutalibacter sp900755895,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
unclassified_Intestinimonas-Acutalibacter stercoravium,1,"{'competition', 'co-occurrence'}",{'TG4'}
Evtepia gabavorous-Acutalibacter stercoravium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Agathobaculum intestinigallinarum-Heritagella sp905215105,1,"{'competition', 'co-occurrence'}",{'TG4'}
Flavonifractor avistercoris-Anaeromassilibacillus stercoravium,1,"{'competition', 'co-occurrence'}",{'TG4'}
Pseudobutyricicoccus lothianensis-Faecivivens stercoravium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
unclassified_Eubacterium_R-Faecalibacterium faecigallinarum,1,"{'competition', 'co-occurrence'}",{'TG4'}
Agathobaculum intestinigallinarum-Negativibacillus faecipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Flavonifractor avistercoris-Negativibacillus faecipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Lawsonibacter asaccharolyticus-Anaerotruncus colihominis,1,"{'competition', 'co-occurrence'}",{'TG4'}
Negativibacillus faecipullorum-Roslinia sp019419865,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG4'}
Acutalibacter stercoravium-Neoanaerotignum_A tabaqchaliae,1,"{'competition', 'co-occurrence'}",{'TG4'}
Gordonibacter urolithinfaciens-Copromonas faecavium,1,"{'competition', 'co-exclusion'}",{'TG4'}
CAG-273 sp944392105-Neoanaerotignum_A tabaqchaliae,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
UBA1417 sp900552925-Merdisoma faecalis,1,"{'competition', 'co-exclusion'}",{'TG4'}
UBA1417 sp900552925-Mediterraneibacter excrementipullorum,1,"{'competition', 'co-occurrence'}",{'TG4'}
Eisenbergiella intestinigallinarum-Merdisoma sp002160825,1,"{'competition', 'co-exclusion'}",{'TG4'}
Eisenbergiella sp904392525-Merdisoma sp002160825,1,"{'competition', 'co-exclusion'}",{'TG4'}
CAG-273 sp944392105-Mediterraneibacter faecigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG4'}
Mediterraneibacter faecigallinarum-Blautia ornithocaccae,1,"{'competition', 'co-occurrence'}",{'TG4'}
Gordonibacter urolithinfaciens-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}",{'TG4'}
Evtepia gabavorous-Caccovicinus merdipullorum,1,"{'competition', 'co-exclusion'}",{'TG4'}
Agathobaculum stercoravium-UMGS1370 sp904395885,1,"{'competition', 'co-occurrence'}",{'TG4'}
Anaerotignum merdipullorum-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-occurrence'}",{'TG4'}
Acutalibacter stercoravium-Blautia stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'TG4'}
Faecalibacterium faecigallinarum-Blautia stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'TG4'}
Pararuminococcus gallinarum-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Akkermansia sp905200945-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
L-Histidine-Pyridoxine,1,{'co-exclusion'},{'overall'}
Sellimonas intestinalis-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'TG2'}
Anaeromassilibacillus stercoravium-Blautia ornithocaccae,1,"{'competition', 'co-occurrence'}",{'TG3'}
Ruthenibacterium lactatiformans-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG3'}
Blautia ornithocaccae-Caccovicinus merdipullorum,1,"{'competition', 'co-occurrence'}",{'TG3'}
Mediterraneibacter intestinavium-Sellimonas intestinalis,1,"{'competition', 'co-exclusion'}",{'TG3'}
Blautia ornithocaccae-Sellimonas intestinalis,1,"{'competition', 'co-occurrence'}",{'TG3'}
Agathobaculum stercoravium-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'TG3'}
An181 sp002160325-Enterocloster excrementigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Lachnoclostridium_A stercorigallinarum-Enterocloster excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG3'}
CAG-269 sp904419495-Merdimonas faecis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Mediterraneibacter pullicola-Merdimonas faecis,1,"{'competition', 'co-occurrence'}",{'TG3'}
CAG-269 sp904419495-Pullilachnospira stercoravium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Anaerotignum merdipullorum-Mediterraneibacter vanvlietii,1,"{'competition', 'co-occurrence'}",{'TG3'}
CAG-269 sp904419495-Anaerobutyricum faecale,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Acutalibacter sp900755895-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence'}",{'TG3'}
Negativibacillus faecipullorum-Anaerostipes excrementavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
UBA4716 sp905215805-Anaerostipes butyraticus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Flavonifractor avicola-Borkfalkia ceftriaxoniphila,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Negativibacillus faecipullorum-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Ornithomonoglobus sp904420525-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence'}",{'TG3'}
Agathobaculum sp900557315-Borkfalkia sp904374385,1,"{'competition', 'co-occurrence'}",{'TG3'}
Flavonifractor avicola-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
An181 sp002160325-Coproplasma stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG3'}
Borkfalkia sp904374385-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Klebsiella pneumoniae-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Thomasclavelia ramosa-Enterococcus_D gallinarum,1,"{'competition', 'co-occurrence'}",{'TG3'}
Enterococcus_D gallinarum-Lactobacillus gallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Eisenbergiella sp904392525-Limosilactobacillus reuteri_E,1,"{'competition', 'co-exclusion'}",{'TG3'}
Acutalibacter stercoravium-Total_removed_abd,1,{'co-exclusion'},{'TG3'}
Rubneribacter badeniensis-L-Asparagine,1,{'co-exclusion'},{'TG3'}
Anaerotruncus colihominis-unclassified_Blautia,1,"{'competition', 'co-exclusion'}",{'TG3'}
Acutalibacter sp900755895-unclassified_Blautia,1,"{'competition', 'co-occurrence'}",{'TG3'}
Proteus mirabilis-Eisenbergiella sp904392525,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG3'}
Flavonifractor plautii-Anaeromassilibacillus stercoravium,1,"{'competition', 'co-occurrence'}",{'TG3'}
Evtepia gabavorous-L-Arginine,1,{'co-occurrence'},{'overall'}
Harrysmithimonas galli-L-Arginine,1,{'co-occurrence'},{'overall'}
L-Tyrosine-L-Tryptophan,1,{'co-occurrence'},{'overall'}
Mediterraneibacter merdigallinarum-Thiamine,1,{'co-occurrence'},{'overall'}
Borkfalkia excrementigallinarum-Riboflavin,1,{'co-occurrence'},{'overall'}
L-Serine-a-Tocopheryl acetate,1,{'co-exclusion'},{'overall'}
Klebsiella pneumoniae-Escherichia coli,1,"{'competition', 'co-occurrence'}",{'TG3'}
Flavonifractor avicola-Lawsonibacter asaccharolyticus,1,"{'competition', 'co-occurrence'}",{'TG3'}
Escherichia coli-Acutalibacter sp900755895,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG3'}
Lawsonibacter pullicola-Acutalibacter stercoravium,1,"{'competition', 'co-occurrence'}",{'TG3'}
Intestinimonas pullistercoris-Acutalibacter ornithocaccae,1,"{'competition', 'co-occurrence'}",{'TG3'}
Agathobaculum intestinigallinarum-Gallacutalibacter pullicola,1,"{'competition', 'co-exclusion'}",{'TG3'}
UBA1417 sp900552925-Gallacutalibacter pullicola,1,"{'competition', 'co-exclusion'}",{'TG3'}
Dysosmobacter pullicola-unclassified_Acutalibacteraceae,1,"{'competition', 'co-exclusion'}",{'TG3'}
CAG-269 sp904419495-Mediterraneibacter sp019418195,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Acutalibacter ornithocaccae-unclassified_Acutalibacteraceae,1,"{'competition', 'co-occurrence'}",{'TG3'}
Proteus mirabilis-Onthovicinus excrementipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG3'}
Faecousia gallistercoris-Merdivicinus intestinigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG3'}
Proteus mirabilis-Fimicola sp944379995,1,{'co-occurrence'},{'TG3'}
Gallacutalibacter pullicola-Anaerotignum merdipullorum,1,"{'competition', 'co-occurrence'}",{'TG3'}
Onthovicinus excrementipullorum-Anaerotignum merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Intestinimonas pullistercoris-unclassified_Choladocola,1,"{'competition', 'co-occurrence'}",{'TG3'}
Proteus mirabilis-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG3'}
Negativibacillus faecipullorum-Eisenbergiella merdavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG3'}
Agathobaculum stercoravium-Ruminococcus_G avistercoris,1,"{'competition', 'co-exclusion'}",{'TG3'}
Acutalibacter sp904391645-Ruminococcus_G avistercoris,1,"{'competition', 'co-occurrence'}",{'TG3'}
Eisenbergiella merdavium-Ruminococcus_G avistercoris,1,"{'competition', 'co-occurrence'}",{'TG3'}
UBA4716 sp905215805-Mediterraneibacter merdigallinarum,1,"{'competition', 'co-occurrence'}",{'TG3'}
Rubneribacter badeniensis-L-Glutamic acid,1,{'co-exclusion'},{'TG3'}
Sellimonas intestinalis-Pantothenic acid,1,{'co-occurrence'},{'TG3'}
Enterococcus_D gallinarum-L-Valine,1,{'co-occurrence'},{'TG3'}
unclassified_CAG-508-Mediterraneibacter sp019418195,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Galloscillospira_A stercoripullorum-unclassified_CAG-273,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Gallacutalibacter pullicola-unclassified_CAG-273,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Agathobaculum sp900291975-unclassified_Gallispira,1,"{'competition', 'co-occurrence'}",{'TG2'}
Acutalibacter pullistercoris-unclassified_Gallispira,1,"{'competition', 'co-occurrence'}",{'TG2'}
Acutalibacter stercoravium-unclassified_Gallispira,1,"{'competition', 'co-exclusion'}",{'TG2'}
Faecousia gallistercoris-Coprocola pullicola,1,"{'competition', 'co-occurrence'}",{'TG2'}
Scybalenecus merdavium-Merdisoma sp944375745,1,"{'competition', 'co-occurrence'}",{'TG2'}
Anaeromassilibacillus stercoravium-Choladocola avistercoris,1,"{'competition', 'co-occurrence'}",{'TG2'}
Eubacterium_R faecavium-Merdisoma faecalis,1,"{'competition', 'co-occurrence'}",{'TG2'}
Anaeromassilibacillus stercoravium-Blautia_A intestinavium,1,"{'competition', 'co-occurrence'}",{'TG2'}
Pseudobutyricicoccus lothianensis-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
unclassified_Mediterraneibacter-Mediterraneibacter avicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Scybalenecus merdavium-Mediterraneibacter sp019418195,1,"{'competition', 'co-occurrence'}",{'TG2'}
Mediterraneibacter avicola-Mediterraneibacter sp019418195,1,"{'competition', 'co-occurrence'}",{'TG2'}
unclassified_CAJFPI01-unclassified_CAG-508,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Pseudobutyricicoccus lothianensis-Mediterraneibacter excrementipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Escherichia coli-Blautia ornithocaccae,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Acutalibacter ornithocaccae-Blautia ornithocaccae,1,"{'competition', 'co-occurrence'}",{'TG2'}
Klebsiella pneumoniae-Enterocloster excrementipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Agathobaculum sp900557315-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}",{'TG2'}
Enterocloster sp944384065-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}",{'TG2'}
Proteus mirabilis-Caccovicinus merdipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Merdivicinus excrementipullorum-Caccovicinus merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Escherichia coli-Sellimonas intestinalis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Pelethomonas intestinigallinarum-Sellimonas intestinalis,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Eisenbergiella intestinigallinarum-Sellimonas intestinalis,1,"{'competition', 'co-occurrence'}",{'TG2'}
Eisenbergiella sp904392525-Sellimonas intestinalis,1,"{'competition', 'co-exclusion'}",{'TG2'}
Roslinia sp019419865-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-exclusion'}",{'TG2'}
Eubacterium_R faecavium-CAG-245 sp944388645,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
unclassified_Lawsonibacter-unclassified_CAG-269,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Coproplasma stercorigallinarum-L-Threonine,1,{'co-exclusion'},{'TG3'}
Acutalibacter pullistercoris-Acutalibacter stercoravium,1,"{'competition', 'co-occurrence'}",{'TG2'}
Enterocloster excrementipullorum-L-Aspartic Acid,1,{'co-exclusion'},{'TG3'}
Merdivicinus intestinigallinarum-L-Lysine,1,{'co-occurrence'},{'TG3'}
L-Asparagine-L-Methionine,1,{'co-exclusion'},{'TG3'}
Enterocloster excrementipullorum-L-Histidine,1,{'co-exclusion'},{'TG3'}
L-Threonine-L-Phenylalanine,1,{'co-occurrence'},{'TG3'}
Agathobaculum intestinigallinarum-Pyridoxamine,1,{'co-occurrence'},{'TG3'}
Merdivicinus intestinigallinarum-Pyridoxine,1,{'co-occurrence'},{'TG3'}
Rubneribacter badeniensis-Gordonibacter urolithinfaciens,1,"{'competition', 'co-occurrence'}",{'TG2'}
Proteus mirabilis-Pseudobutyricicoccus lothianensis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Proteus mirabilis-Lawsonibacter pullicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Intestinimonas stercoravium-Lawsonibacter sp019424865,1,"{'competition', 'co-occurrence'}",{'TG2'}
Flavonifractor avistercoris-Dysosmobacter avistercoris,1,"{'competition', 'co-occurrence'}",{'TG2'}
HGM12998 sp900756495-Acutalibacter stercoravium,1,"{'competition', 'co-occurrence'}",{'TG2'}
Intestinimonas pullistercoris-Anaeromassilibacillus stercoravium,1,"{'competition', 'co-occurrence'}",{'TG2'}
Galloscillospira_A stercoripullorum-unclassified_Ornithomonoglobus_A,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Anaeromassilibacillus stercoravium-Caccousia avistercoris,1,"{'competition', 'co-occurrence'}",{'TG2'}
Rubneribacter badeniensis-unclassified_Acutalibacteraceae,1,"{'competition', 'co-occurrence'}",{'TG2'}
Acutalibacter stercoravium-CAJFUH01 sp904420155,1,"{'competition', 'co-occurrence'}",{'TG2'}
Anaeromassilibacillus stercoravium-Fournierella sp002161595,1,"{'competition', 'co-exclusion'}",{'TG2'}
Acutalibacter sp900755895-Faeciplasma gallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Gallacutalibacter pullicola-Faecivivens stercoravium,1,"{'competition', 'co-occurrence'}",{'TG2'}
Salmonella enterica-Egerieicola faecale,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Merdivicinus excrementipullorum-Negativibacillus faecipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Acutalibacter pullistercoris-Avimicrobium caecorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Pseudobutyricicoccus lothianensis-Anaerotruncus colihominis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Dysosmobacter pullicola-Anaerotruncus colihominis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Gallacutalibacter pullicola-Angelakisella sp904420255,1,"{'competition', 'co-occurrence'}",{'TG2'}
Agathobaculum sp900291975-unclassified_Ornithomonoglobus_A,1,"{'competition', 'co-occurrence'}",{'TG2'}
L-Alanine-Thiamine,1,{'co-occurrence'},{'day28'}
